file,status,old_error,new_error,secs_old,secs_new,sheets_old,sheets_new,dims_old,dims_new,dims_match,cells_compared,diff_real,diff_value_vs_na,diff_empty_vs_na,diff_whitespace,diff_line_ending,formulas_old,formulas_new,formulas_lost
10 - Lambton Kent DSB.xlsx,both_ok,NA,NA,2.624,0.576,11,11,550 x 218,550 x 218,TRUE,118800,0,0,178,1,0,4613,4192,421
100 - James Bay Lowlands Secondary School Board.xlsx,both_ok,NA,NA,2.462,0.496,11,11,552 x 218,552 x 218,TRUE,119232,0,0,165,1,0,4470,4049,421
102 - Moose Factory Island District School Authority.xlsx,both_ok,NA,NA,2.276,0.409,11,11,549 x 218,548 x 218,FALSE,118584,0,0,4177,1,7,4534,4356,178
102 - Moosonee District School Authority.xlsx,both_ok,NA,NA,2.262,0.475,11,11,552 x 218,548 x 218,FALSE,119232,0,0,4244,1,7,4534,4356,178
103 - The Protestant Separate School Board of the Town of Penetanguishene.xlsx,both_ok,NA,NA,2.338,0.446,11,11,550 x 218,550 x 218,TRUE,118800,0,0,82,1,0,4406,3985,421
11 - Thames Valley DSB.xlsx,both_ok,NA,NA,2.633,0.682,11,11,561 x 218,561 x 218,TRUE,121176,0,0,1230,1,0,5501,4360,1141
12 - Toronto DSB.xlsx,both_ok,NA,NA,2.773,0.483,11,11,559 x 218,558 x 218,FALSE,120744,0,0,1353,1,0,5659,4422,1237
13 - Durham DSB.xlsx,both_ok,NA,NA,2.546,0.385,11,11,554 x 218,554 x 218,TRUE,119664,0,0,1190,1,0,5332,4239,1093
14 - Kawartha Pine Ridge DSB.xlsx,both_ok,NA,NA,2.459,0.389,11,11,552 x 218,552 x 218,TRUE,119232,0,0,474,1,0,4756,4095,661
15 - Trillium Lakelands DSB.xlsx,both_ok,NA,NA,2.441,0.411,11,11,551 x 218,551 x 218,TRUE,119016,0,0,3910,1,7,4406,4228,178
16 - York Region DSB.xlsx,both_ok,NA,NA,2.564,0.416,11,11,557 x 218,556 x 218,FALSE,120312,0,0,1423,1,0,5632,4395,1237
17 - Simcoe County DSB.xlsx,both_ok,NA,NA,2.981,0.558,11,11,556 x 218,555 x 218,FALSE,120096,0,0,1360,1,0,5641,4388,1253
18 - Upper Grand DSB.xlsx,both_ok,NA,NA,2.486,0.402,11,11,553 x 218,552 x 218,FALSE,119448,0,0,179,1,0,4628,4207,421
19 - Peel DSB.xlsx,both_ok,NA,NA,2.49,0.568,11,11,552 x 218,552 x 218,TRUE,119232,0,0,768,1,0,5042,4189,853
2 - Algoma DSB.xlsx,both_ok,NA,NA,2.568,0.402,11,11,549 x 218,548 x 218,FALSE,118584,0,0,4130,1,7,4549,4371,178
20 - Halton DSB.xlsx,both_ok,NA,NA,2.641,0.394,11,11,552 x 218,552 x 218,TRUE,119232,0,0,462,1,0,4786,4125,661
21 - Hamilton-Wentworth DSB.xlsx,both_ok,NA,NA,2.458,0.388,11,11,554 x 218,554 x 218,TRUE,119664,0,0,530,1,0,4865,4156,709
22 - DSB of Niagara.xlsx,both_ok,NA,NA,2.437,0.424,11,11,553 x 218,553 x 218,TRUE,119448,0,0,970,1,0,5249,4252,997
23 - Grand Erie DSB.xlsx,both_ok,NA,NA,2.498,0.471,11,11,553 x 218,553 x 218,TRUE,119448,0,0,478,1,0,4786,4125,661
24 - Waterloo Region DSB.xlsx,both_ok,NA,NA,2.696,0.38,11,11,553 x 218,553 x 218,TRUE,119448,0,0,242,1,0,4677,4256,421
25 - Ottawa-Carleton DSB.xlsx,both_ok,NA,NA,2.24,0.374,11,11,553 x 218,553 x 218,TRUE,119448,0,0,750,1,0,4963,4158,805
26 - Upper Canada DSB.xlsx,both_ok,NA,NA,2.208,0.518,11,11,549 x 218,548 x 218,FALSE,118584,0,0,238,1,0,4677,4256,421
27 - Limestone DSB.xlsx,both_ok,NA,NA,2.508,0.355,11,11,549 x 218,548 x 218,FALSE,118584,0,0,102,1,0,4406,3985,421
29 - Hastings and Prince Edward DSB.xlsx,both_ok,NA,NA,2.455,0.409,11,11,549 x 218,548 x 218,FALSE,118584,0,0,86,1,0,4406,3985,421
3 - Rainbow DSB.xlsx,both_ok,NA,NA,2.37,0.558,11,11,550 x 218,550 x 218,TRUE,118800,0,0,136,1,0,4470,4049,421
30.2 - Nipissing-Parry Sound Catholic DSB.xlsx,both_ok,NA,NA,2.474,0.361,11,11,549 x 218,548 x 218,FALSE,118584,0,0,92,1,0,4406,3985,421
35 - Bruce-Grey Catholic DSB.xlsx,both_ok,NA,NA,2.457,0.381,11,11,550 x 218,550 x 218,TRUE,118800,0,0,191,1,0,4598,4177,421
36 - Huron-Perth Catholic DSB.xlsx,both_ok,NA,NA,2.392,0.357,11,11,551 x 218,551 x 218,TRUE,119016,0,0,3894,1,11,4406,4228,178
37 - Windsor-Essex Catholic DSB.xlsx,both_ok,NA,NA,2.641,0.552,11,11,549 x 218,548 x 218,FALSE,118584,0,0,175,1,0,4534,4113,421
38 - London District Catholic SB.xlsx,both_ok,NA,NA,2.622,0.377,11,11,558 x 218,558 x 218,TRUE,120528,0,0,960,1,0,5294,4297,997
39 - St. Clair Catholic DSB.xlsx,both_ok,NA,NA,2.368,0.436,11,11,551 x 218,551 x 218,TRUE,119016,0,0,100,1,0,4406,3985,421
4 - Near North DSB.xlsx,both_ok,NA,NA,2.351,0.441,11,11,549 x 218,548 x 218,FALSE,118584,0,0,3920,1,7,4406,4228,178
