file,cells,reps,old_best,old_median,new_best,new_median,ratio
10 - Lambton Kent DSB.xlsx,118800,3,2.0292,2.2365,0.3618,0.3787,5.61
100 - James Bay Lowlands Secondary School Board.xlsx,119232,3,2.1498,2.208,0.3562,0.3717,6.03
102 - Moose Factory Island District School Authority.xlsx,118584,3,2.0962,2.2043,0.3839,0.4157,5.46
102 - Moosonee District School Authority.xlsx,119232,3,2.0145,2.0218,0.3934,0.4216,5.12
103 - The Protestant Separate School Board of the Town of Penetanguishene.xlsx,118800,3,1.9185,2.2119,0.3665,0.3707,5.23
11 - Thames Valley DSB.xlsx,121176,3,2.0411,2.1961,0.3543,0.3645,5.76
12 - Toronto DSB.xlsx,120744,3,2.0743,2.09,0.3672,0.36870000000000003,5.65
13 - Durham DSB.xlsx,119664,3,2.0198,2.1277,0.3587,0.36,5.63
14 - Kawartha Pine Ridge DSB.xlsx,119232,3,2.1665,2.3207,0.3554,0.3567,6.1
15 - Trillium Lakelands DSB.xlsx,119016,3,2.0347,2.2444,0.358,0.3625,5.68
16 - York Region DSB.xlsx,120312,3,2.0533,2.1897,0.3596,0.3675,5.71
17 - Simcoe County DSB.xlsx,120096,3,2.1676,2.2451,0.3873,0.3976,5.6
18 - Upper Grand DSB.xlsx,119448,3,2.0472,2.0713,0.3943,0.3998,5.19
19 - Peel DSB.xlsx,119232,3,2.212,2.2377,0.3725,0.383,5.94
2 - Algoma DSB.xlsx,118584,3,2.1391,2.1675,0.4268,0.4572,5.01
20 - Halton DSB.xlsx,119232,3,2.1237,2.4176,0.4098,0.4136,5.18
21 - Hamilton-Wentworth DSB.xlsx,119664,3,2.0383,2.0522,0.3561,0.3588,5.72
22 - DSB of Niagara.xlsx,119448,3,1.9829,1.9875,0.4164,0.4315,4.76
23 - Grand Erie DSB.xlsx,119448,3,2.0714,2.1456,0.4105,0.4184,5.05
24 - Waterloo Region DSB.xlsx,119448,3,2.0251,2.0329,0.3962,0.4196,5.11
25 - Ottawa-Carleton DSB.xlsx,119448,3,2.0791,2.0978,0.4131,0.4619,5.03
26 - Upper Canada DSB.xlsx,118584,3,2.226,2.2703,0.4464,0.5089,4.99
27 - Limestone DSB.xlsx,118584,3,2.1207,2.1804,0.4207,0.4751,5.04
29 - Hastings and Prince Edward DSB.xlsx,118584,3,2.0963,2.2913,0.4588,0.4623,4.57
3 - Rainbow DSB.xlsx,118800,3,2.0924,2.3722,0.4531,0.4821,4.62
30.2 - Nipissing-Parry Sound Catholic DSB.xlsx,118584,3,2.1457,2.1928,0.4129,0.4154,5.2
35 - Bruce-Grey Catholic DSB.xlsx,118800,3,2.1828,2.4299,0.4028,0.4091,5.42
36 - Huron-Perth Catholic DSB.xlsx,119016,3,2.1515,2.1757,0.4698,0.4778,4.58
37 - Windsor-Essex Catholic DSB.xlsx,118584,3,2.1123,2.3263,0.4706,0.5822,4.49
38 - London District Catholic SB.xlsx,120528,3,2.1885,2.2541,0.5082,0.5281,4.31
39 - St. Clair Catholic DSB.xlsx,119016,3,2.132,2.2011,0.4527,0.5024,4.71
4 - Near North DSB.xlsx,118584,3,2.1111,2.3415,0.5227,0.5342,4.04
40 - Toronto Catholic DSB.xlsx,122040,3,2.1435,2.241,0.5447,0.609,3.93
41 - Peterborough Victoria Northumberland Clarington Catholic DSB.xlsx,118584,3,2.0905,2.2386,0.4087,0.4281,5.11
42 - York Catholic DSB.xlsx,118800,3,2.2414,2.3109,0.4546,0.4749,4.93
43 - Dufferin Peel Catholic DSB.xlsx,118800,3,2.1076,2.2584,0.4525,0.5501,4.66
44 - Simcoe Muskoka Catholic DSB.xlsx,120096,3,2.1618,2.3068,0.4479,0.4629,4.83
45 - Durham Catholic DSB.xlsx,118800,3,2.3095,2.3888,0.3878,0.4191,5.95
46 - Halton Catholic DSB.xlsx,119016,3,NA,NA,0.3992,0.436,NA
47 - Hamilton-Wentworth Catholic DSB.xlsx,119016,3,2.0528,2.0878,0.3651,0.3759,5.62
48 - Wellington Catholic DSB.xlsx,119664,3,2.063,2.1268,0.4058,0.4256,5.08
49 - Waterloo Catholic DSB.xlsx,120528,3,2.6402,2.7942,0.4376,0.4511,6.03
5.1 - Keewatin-Patricia DSB.xlsx,119016,3,2.0723,2.2251,0.4063,0.4253,5.1
5.2 - Rainy River DSB.xlsx,118800,3,2.0536,2.1113,0.3983,0.4259,5.16
50 - Niagara Catholic DSB.xlsx,119664,3,1.9968,2.3465,0.3745,0.3828,5.33
51 - Brant Haldimand Norfolk Catholic DSB.xlsx,119232,3,2.179,2.2849,0.3717,0.3799,5.86
52 - Catholic DSB of Eastern Ontario.xlsx,119016,3,2.1244,2.2081,0.3647,0.369,5.82
53 - Ottawa Catholic School Board.xlsx,119448,3,2.0889,2.3252,0.3659,0.3756,5.71
54 - Renfrew County Catholic DSB.xlsx,118584,3,2.0121000000000002,2.1171,0.3576,0.3585,5.63
55 - Algonquin and Lakeshore Catholic DSB.xlsx,119016,3,2.0338,2.1822,0.3914,0.3923,5.2
56 - CSD du Nord-Est de l'Ontario.xlsx,118800,3,2.0137,2.0178,0.3872,0.3877,5.2
57 - CSP Grand Nord de l'Ontario.xlsx,118584,3,2.1114,2.3336,0.3957,0.5286,5.34
58 - CS Viamonde.xlsx,120528,3,2.0952,2.1895,0.3761,0.3887,5.57
59 - CEPs de l'Est de l'Ontario.xlsx,121392,3,2.0872,2.1214,0.3672,0.4658,5.68
60.1 - CSC des Grandes Rivières.xlsx,119232,3,2.119,2.1512,0.3908,0.4077,5.42
61 - CSDC du Nouvel-Ontario.xlsx,118584,3,1.9904,2.0157,0.3683,0.3868,5.4
63 - CSC Providence.xlsx,118584,3,2.0662,2.2237,0.4103,0.4236,5.04
64 - CSC MonAvenir.xlsx,120312,3,2.0011,2.1098,0.3851,0.4088,5.2
65 - CSDC de l'Est Ontarien.xlsx,118584,3,2.6263,2.7065,0.391,0.4058,6.72
66 - CEC du Centre-Est.xlsx,119880,3,2.047,2.2946,0.4682,0.5737,4.37
7 - Bluewater DSB.xlsx,119232,3,2.1718,2.2488,0.3992,0.4001,5.44
8 - Avon Maitland DSB.xlsx,119016,3,2.935,3.7129,0.378,0.3948,7.76
9 - Greater Essex County DSB.xlsx,118800,3,2.0437,2.0663,0.375,0.4086,5.45
